wavelength,angle,psi,delta
813.515259,75.02,9.233212,110.500359
816.654419,65.02,20.617821,159.664627
816.654419,70.02,14.807157,147.367386
816.654419,75.02,9.143537,111.309273
819.793152,65.02,20.643427,160.069397
819.793152,70.02,14.808613,147.998169
819.793152,75.02,9.040643,112.237389
822.931519,65.02,20.66102,160.416641
822.931519,70.02,14.80232,148.571823
822.931519,75.02,8.946744,112.973427
826.069702,65.02,20.667753,160.779922
826.069702,70.02,14.796122,149.175476
826.069702,75.02,8.857018,113.933502
829.20752,65.02,20.682018,161.145004
829.20752,70.02,14.779325,149.7314
829.20752,75.02,8.751143,114.693466
832.34491,65.02,20.705185,161.483292
832.34491,70.02,14.782526,150.310028
832.34491,75.02,8.669168,115.610641
835.482239,65.02,20.708366,161.879074
835.482239,70.02,14.777238,150.93782
835.482239,75.02,8.567323,116.536644
838.619019,65.02,20.718338,162.232986
838.619019,70.02,14.751118,151.486038
838.619019,75.02,8.474153,117.511543
841.755554,65.02,20.741468,162.588821
841.755554,70.02,14.748257,152.081741
841.755554,75.02,8.376846,118.340408
844.891785,65.02,20.767366,162.965393
844.891785,70.02,14.743731,152.694962
844.891785,75.02,8.282936,119.216072
848.027527,65.02,20.76631,163.318161
848.027527,70.02,14.738338,153.258316
848.027527,75.02,8.198344,120.214584
851.163086,65.02,20.785976,163.667267
851.163086,70.02,14.732438,153.865311
851.163086,75.02,8.105259,121.141571
854.298462,65.02,20.796328,164.044296
854.298462,70.02,14.716149,154.424011
854.298462,75.02,8.005962,122.151184
857.433289,65.02,20.790985,164.400253
857.433289,70.02,14.71301,155.024109
857.433289,75.02,7.910297,123.083839
860.567871,65.02,20.79369,164.734238
860.567871,70.02,14.686891,155.572922
860.567871,75.02,7.824718,124.046524
863.702148,65.02,20.813358,165.147507
863.702148,70.02,14.680453,156.197906
863.702148,75.02,7.728482,125.068726
866.836121,65.02,20.815987,165.478149
866.836121,70.02,14.665114,156.784256
866.836121,75.02,7.638242,126.160698
869.969727,65.02,20.829638,165.838867
869.969727,70.02,14.66686,157.349121
869.969727,75.02,7.559347,127.212852
873.103027,65.02,20.838976,166.218811
873.103027,70.02,14.652076,157.918274
873.103027,75.02,7.47324,128.214691
876.236023,65.02,20.834955,166.555984
876.236023,70.02,14.647288,158.518295
876.236023,75.02,7.394586,129.323029
879.368652,65.02,20.843885,166.92131
879.368652,70.02,14.626506,159.078049
879.368652,75.02,7.28987,130.330109
882.500977,65.02,20.846079,167.281616
882.500977,70.02,14.613252,159.673187
882.500977,75.02,7.20538,131.378891
885.632996,65.02,20.862101,167.611801
885.632996,70.02,14.605357,160.25058
885.632996,75.02,7.134877,132.462372
888.764771,65.02,20.853168,167.971146
888.764771,70.02,14.598137,160.8004
888.764771,75.02,7.039794,133.49855
891.896118,65.02,20.862991,168.336517
891.896118,70.02,14.578249,161.380936
891.896118,75.02,6.960453,134.698685
895.027161,65.02,20.859003,168.671158
895.027161,70.02,14.56697,161.96611
895.027161,75.02,6.885073,135.899139
898.157837,65.02,20.863005,169.066116
898.157837,70.02,14.550035,162.563614
898.157837,75.02,6.796875,137.055496
901.288269,65.02,20.864849,169.401138
901.288269,70.02,14.543356,163.111725
901.288269,75.02,6.720356,138.16568
904.418335,65.02,20.876184,169.728424
904.418335,70.02,14.527848,163.67421
904.418335,75.02,6.635638,139.269058
907.548157,65.02,20.861885,170.07724
907.548157,70.02,14.523235,164.243347
907.548157,75.02,6.558907,140.475647
910.677551,65.02,20.858665,170.399231
910.677551,70.02,14.499448,164.778732
910.677551,75.02,6.482952,141.684692
913.806641,65.02,20.870642,170.772766
913.806641,70.02,14.476068,165.390076
913.806641,75.02,6.419448,142.99852
916.935547,65.02,20.859381,171.122528
916.935547,70.02,14.463939,165.912872
916.935547,75.02,6.330307,144.08429
920.063843,65.02,20.869095,171.455505
920.063843,70.02,14.455614,166.487137
920.063843,75.02,6.270899,145.449341
923.1922,65.02,20.848345,171.791809
923.1922,70.02,14.446411,167.016571
923.1922,75.02,6.197533,146.618225
926.319946,65.02,20.840359,172.10701
926.319946,70.02,14.419168,167.586761
926.319946,75.02,6.136229,147.91217
929.447449,65.02,20.843908,172.450546
929.447449,70.02,14.39894,168.116302
929.447449,75.02,6.076425,149.260254
932.574585,65.02,20.84547,172.794205
932.574585,70.02,14.386287,168.655182
932.574585,75.02,6.004189,150.532852
935.701538,65.02,20.846392,173.119431
935.701538,70.02,14.387369,169.204803
