wavelength,angle,psi,delta
608.783752,75.02,20.86705,30.495558
611.943726,65.02,11.909793,87.596985
611.943726,70.02,14.830804,53.832401
611.943726,75.02,20.810812,32.306953
615.103394,65.02,12.708035,90.765121
615.103394,70.02,15.130977,57.686455
615.103394,75.02,20.782684,34.942547
618.262817,65.02,13.104725,92.673729
618.262817,70.02,15.26011,59.813042
618.262817,75.02,20.72508,36.380085
621.421875,65.02,13.578873,95.270424
621.421875,70.02,15.359226,62.591454
621.421875,75.02,20.586254,38.306782
624.580566,65.02,13.981899,97.617584
624.580566,70.02,15.439565,65.170372
624.580566,75.02,20.425297,40.010143
627.738953,65.02,14.344903,99.94854
627.738953,70.02,15.488436,67.686821
627.738953,75.02,20.255894,41.72414
630.897095,65.02,14.66284,102.072609
630.897095,70.02,15.518448,70.077316
630.897095,75.02,20.068497,43.324863
634.05481,65.02,14.967752,104.131607
634.05481,70.02,15.526022,72.394989
634.05481,75.02,19.870501,44.881119
637.21228,65.02,15.246096,106.170692
637.21228,70.02,15.510668,74.636162
637.21228,75.02,19.641615,46.37804
640.369446,65.02,15.476295,108.023232
640.369446,70.02,15.484634,76.800652
640.369446,75.02,19.410179,47.798565
643.526184,65.02,15.70298,109.890251
643.526184,70.02,15.468951,78.865128
643.526184,75.02,19.165266,49.215424
646.682678,65.02,15.903147,111.696342
646.682678,70.02,15.424137,80.836967
646.682678,75.02,18.934557,50.547764
649.838806,65.02,16.093504,113.37236
649.838806,70.02,15.383247,82.804047
649.838806,75.02,18.690989,51.838303
652.994629,65.02,16.246635,114.947502
652.994629,70.02,15.315262,84.641647
652.994629,75.02,18.434076,53.059742
656.150208,65.02,16.396969,116.414406
656.150208,70.02,15.26403,86.371445
656.150208,75.02,18.187344,54.211517
659.305359,65.02,16.549442,117.942474
659.305359,70.02,15.215239,88.12915
659.305359,75.02,17.948706,55.385239
662.460205,65.02,16.680729,119.335114
662.460205,70.02,15.147508,89.852402
662.460205,75.02,17.688148,56.529434
665.614746,65.02,16.798729,120.653847
665.614746,70.02,15.083019,91.432388
665.614746,75.02,17.439182,57.577393
668.768921,65.02,16.904058,122.009773
668.768921,70.02,15.013106,93.024139
668.768921,75.02,17.19063,58.623798
671.922852,65.02,17.002146,123.321991
671.922852,70.02,14.939522,94.61451
671.922852,75.02,16.932211,59.628361
675.076477,65.02,17.087318,124.514
675.076477,70.02,14.858891,96.071877
675.076477,75.02,16.688162,60.633881
678.229675,65.02,17.165749,125.67186
678.229675,70.02,14.784264,97.514259
678.229675,75.02,16.438248,61.569691
681.382629,65.02,17.245852,126.874969
681.382629,70.02,14.718995,98.936897
681.382629,75.02,16.19726,62.49892
684.535278,65.02,17.323896,127.932976
684.535278,70.02,14.633134,100.308189
684.535278,75.02,15.953916,63.388683
687.687561,65.02,17.380627,128.998703
687.687561,70.02,14.562708,101.685768
687.687561,75.02,15.710419,64.298248
690.839478,65.02,17.440409,130.105743
690.839478,70.02,14.485923,103.021271
690.839478,75.02,15.459629,65.117058
693.99115,65.02,17.495995,131.095932
693.99115,70.02,14.413743,104.277168
693.99115,75.02,15.232703,65.966408
697.142456,65.02,17.546284,132.093033
697.142456,70.02,14.326648,105.514351
697.142456,75.02,14.993057,66.815422
700.293457,65.02,17.58847,133.040039
700.293457,70.02,14.257474,106.805878
700.293457,75.02,14.752851,67.621407
703.444153,65.02,17.628046,133.99559
703.444153,70.02,14.168856,108.012886
703.444153,75.02,14.513493,68.392891
706.594543,65.02,17.673578,134.913818
706.594543,70.02,14.098441,109.21859
706.594543,75.02,14.281288,69.195717
709.744507,65.02,17.703188,135.841492
709.744507,70.02,14.014791,110.435722
709.744507,75.02,14.040637,69.952347
712.894287,65.02,17.733124,136.777435
712.894287,70.02,13.930927,111.64595
712.894287,75.02,13.800679,70.741447
716.04364,65.02,17.7647,137.633728
716.04364,70.02,13.865168,112.843307
716.04364,75.02,13.579083,71.480896
719.192749,65.02,17.811033,138.50502
719.192749,70.02,13.78521,113.999382
719.192749,75.02,13.343709,72.197449
722.341492,65.02,17.83815,139.305664
722.341492,70.02,13.712457,115.10302
722.341492,75.02,13.131721,72.922302
725.489929,65.02,17.861338,140.15416
725.489929,70.02,13.642149,116.232307
725.489929,75.02,12.891891,73.683815
728.638,65.02,17.881479,140.939011
728.638,70.02,13.566854,117.316978
728.638,75.02,12.670418,74.315758
731.785828,65.02,17.908764,141.769775
731.785828,70.02,13.487614,118.438156
731.785828,75.02,12.44303,75.003807
734.933289,65.02,17.919909,142.538055
734.933289,70.02,13.413768,119.499573
734.933289,75.02,12.226216,75.77018
738.080444,65.02,17.929554,143.291397
738.080444,70.02,13.347846,120.567085
738.080444,75.02,12.009195,76.398064
741.227234,65.02,17.948975,144.011993
741.227234,70.02,13.284717,121.611626
741.227234,75.02,11.793996,77.104698
744.373718,65.02,17.958275,144.794907
744.373718,70.02,13.20496,122.665512
744.373718,75.02,11.573627,77.786201
747.519897,65.02,17.982599,145.5242
747.519897,70.02,13.132994,123.725609
747.519897,75.02,11.350415,78.418396
750.665771,65.02,17.994041,146.232254
750.665771,70.02,13.067445,124.728523
750.665771,75.02,11.140572,79.086464
753.81134,65.02,17.996449,146.966095
753.81134,70.02,12.996964,125.757942
753.81134,75.02,10.924157,79.741325
756.956543,65.02,18.00288,147.653793
756.956543,70.02,12.931337,126.775833
756.956543,75.02,10.722445,80.392426
760.10144,65.02,18.01722,148.304611
760.10144,70.02,12.862412,127.810806
760.10144,75.02,10.507468,81.055237
763.245972,65.02,18.023237,149.011063
763.245972,70.02,12.799478,128.801987
763.245972,75.02,10.296769,81.723938
766.390259,65.02,18.026241,149.698532
766.390259,70.02,12.730803,129.796021
766.390259,75.02,10.091598,82.340096
769.534119,65.02,18.028873,150.359207
769.534119,70.02,12.654619,130.780807
769.534119,75.02,9.88652,82.954781
772.677734,65.02,18.028162,151.006729
772.677734,70.02,12.602062,131.740738
772.677734,75.02,9.684638,83.650261
775.820984,65.02,18.037586,151.657288
775.820984,70.02,12.543949,132.701523
775.820984,75.02,9.483448,84.20005
778.963989,65.02,18.032734,152.271988
778.963989,70.02,12.478972,133.665939
778.963989,75.02,9.276015,84.863762
782.106628,65.02,18.033401,152.902802
782.106628,70.02,12.413998,134.62532
782.106628,75.02,9.090108,85.501564
785.248901,65.02,18.037031,153.514175
785.248901,70.02,12.358589,135.59285
785.248901,75.02,8.882627,86.023933
788.39093,65.02,18.038134,154.146454
788.39093,70.02,12.302026,136.496704
788.39093,75.02,8.686432,86.677155
791.532593,65.02,18.029428,154.742065
791.532593,70.02,12.230847,137.426346
791.532593,75.02,8.49472,87.367661
794.67395,65.02,18.032442,155.3423
794.67395,70.02,12.181203,138.355347
794.67395,75.02,8.3036,87.94635
797.814941,65.02,18.029463,155.903198
797.814941,70.02,12.123837,139.311417
797.814941,75.02,8.116702,88.509056
800.955688,65.02,18.01989,156.536896
800.955688,70.02,12.065335,140.154266
800.955688,75.02,7.918602,89.128151
804.096069,65.02,18.007992,157.088257
804.096069,70.02,12.005076,141.086365
804.096069,75.02,7.730196,89.781319
807.236145,65.02,18.018297,157.676834
807.236145,70.02,11.948012,142.045593
807.236145,75.02,7.536758,90.442307
810.375854,65.02,18.00404,158.217392
810.375854,70.02,11.900754,142.91333
810.375854,75.02,7.353113,91.031593
