Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
760.101440	18.017220	148.304611	12.862412	127.810806	10.507468	81.055237	
763.245972	18.023237	149.011063	12.799478	128.801987	10.296769	81.723938	
766.390259	18.026241	149.698532	12.730803	129.796021	10.091598	82.340096	
769.534119	18.028873	150.359207	12.654619	130.780807	9.886520	82.954781	
772.677734	18.028162	151.006729	12.602062	131.740738	9.684638	83.650261	
775.820984	18.037586	151.657288	12.543949	132.701523	9.483448	84.200050	
778.963989	18.032734	152.271988	12.478972	133.665939	9.276015	84.863762	
782.106628	18.033401	152.902802	12.413998	134.625320	9.090108	85.501564	
785.248901	18.037031	153.514175	12.358589	135.592850	8.882627	86.023933	
788.390930	18.038134	154.146454	12.302026	136.496704	8.686432	86.677155	
791.532593	18.029428	154.742065	12.230847	137.426346	8.494720	87.367661	
794.673950	18.032442	155.342300	12.181203	138.355347	8.303600	87.946350	
797.814941	18.029463	155.903198	12.123837	139.311417	8.116702	88.509056	
800.955688	18.019890	156.536896	12.065335	140.154266	7.918602	89.128151	
804.096069	18.007992	157.088257	12.005076	141.086365	7.730196	89.781319	
807.236145	18.018297	157.676834	11.948012	142.045593	7.536758	90.442307	
810.375854	18.004040	158.217392	11.900754	142.913330	7.353113	91.031593	
813.515259	17.995178	158.830704	11.840236	143.852768	7.173310	91.663963	
816.654419	17.999441	159.368134	11.787492	144.753632	6.997224	92.328056	
819.793152	17.999773	159.919708	11.740962	145.602478	6.807298	93.025826	
822.931519	17.990229	160.430313	11.697846	146.473129	6.627220	93.562454	
826.069702	17.970219	160.954437	11.646482	147.350143	6.457022	94.165459	
829.207520	17.973053	161.508484	11.588985	148.177139	6.273067	94.751518	
832.344910	17.955822	161.997955	11.544959	149.051453	6.109163	95.491959	
835.482239	17.937122	162.533112	11.502407	149.971130	5.929223	96.266922	
838.619019	17.936773	163.076340	11.442925	150.781326	5.759377	96.946045	
841.755554	17.937910	163.548874	11.408085	151.576309	5.591635	97.476349	
844.891785	17.923563	164.059662	11.360096	152.432678	5.418970	98.140427	
848.027527	17.909925	164.568497	11.308339	153.268631	5.249012	98.939651	
851.163086	17.898748	165.057480	11.268837	154.182343	5.087563	99.645569	
854.298462	17.891211	165.557480	11.230206	154.967056	4.921807	100.282341	
857.433289	17.863504	166.035233	11.190642	155.790375	4.754452	100.973946	
860.567871	17.848869	166.501755	11.145373	156.582962	4.601145	101.770180	
863.702148	17.842310	166.976166	11.100880	157.404602	4.436162	102.633904	
866.836121	17.837959	167.466644	11.051861	158.250488	4.278056	103.437553	
869.969727	17.819675	167.924271	11.030855	159.098038	4.121547	104.286324	
873.103027	17.804886	168.383820	10.994417	159.924667	3.962053	105.196526	
876.236023	17.792877	168.826065	10.951908	160.651581	3.815614	105.953461	
879.368652	17.778669	169.303864	10.908058	161.443787	3.656940	106.879822	
882.500977	17.766897	169.754425	10.874806	162.295654	3.504109	108.224403	
885.632996	17.748030	170.156555	10.839730	163.050079	3.362320	109.056511	
888.764771	17.733997	170.613495	10.804910	163.815399	3.215850	110.168900	
891.896118	17.713711	171.062317	10.766967	164.611862	3.059199	110.977295	
895.027161	17.691059	171.491516	10.733918	165.373230	2.919066	112.492157	
898.157837	17.686443	171.934021	10.699633	166.168701	2.773120	113.679146	
901.288269	17.666813	172.361069	10.666155	166.912323	2.634448	115.246063	
904.418335	17.659006	172.787521	10.634031	167.653412	2.497795	116.505890	
907.548157	17.644751	173.200912	10.613517	168.438843	2.362973	118.100685	
910.677551	17.623386	173.609833	10.573080	169.213013	2.230060	119.921745	
913.806641	17.611393	174.039642	10.543573	169.945755	2.102098	121.761200	
916.935547	17.594776	174.426086	10.518139	170.662476	1.967499	123.411507	
920.063843	17.583340	174.848679	10.499692	171.403717	1.843955	125.727806	
923.192200	17.551128	175.255814	10.473907	172.147415	1.724815	128.336075	
926.319946	17.530193	175.621109	10.432626	172.900528	1.611709	131.126831	
929.447449	17.523474	176.025970	10.398950	173.599869	1.502497	134.311508	
932.574585	17.507185	176.383606	10.381402	174.299896	1.395160	138.105103	
935.701538	17.493673	176.781235	10.378302	174.965530	1.301177	141.819336	
938.828125	17.471903	177.184036	10.329188	175.698883	1.188313	146.278244	
941.954285	17.455158	177.615738	10.305747	176.545837	1.110684	152.909851	
945.080200	17.416286	178.035828	10.277731	177.278183	1.015747	159.268845	
948.205750	17.422371	178.460358	10.256598	178.096329	0.958942	167.699112	
951.331055	17.388802	178.857834	10.229198	178.860687	0.913475	175.054977	
954.455872	17.381704	179.216232	10.200180	179.492142	0.875034	183.983536	
957.580444	17.357922	179.583740	10.194648	180.195068	0.889324	192.372513	
960.704895	17.344378	179.942642	10.181129	180.935638	0.901604	200.927338	
963.828796	17.328077	180.330414	10.155354	181.560303	0.924074	208.932785	
966.952454	17.312782	180.696960	10.151773	182.224716	0.969349	215.739731	
970.075806	17.310383	181.038788	10.140137	182.905579	1.029920	222.755432	
973.198853	17.279587	181.402237	10.116460	183.593506	1.101468	227.895294	
976.321472	17.260813	181.725143	10.096547	184.233612	1.175762	232.769379	
979.443848	17.241976	182.112595	10.071554	184.922195	1.258878	237.713501	
982.565918	17.234209	182.466034	10.034858	185.662216	1.334379	241.761292	
985.687622	17.205439	182.800095	10.021794	186.228836	1.430656	244.661346	
988.808960	17.192583	183.140701	10.008101	186.927353	1.524601	247.739624	
991.930054	17.167294	183.462372	9.987890	187.568390	1.625529	250.336761	
995.050781	17.134844	183.829117	9.983793	188.215012	1.715190	252.784943	
998.171265	17.129833	184.144592	9.979423	188.808197	1.811720	254.923447	
