Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
807.236145	16.733593	148.261230	11.514114	125.371117	9.931876	73.118889	
810.375854	16.742373	148.876617	11.454720	126.293190	9.738265	73.514320	
813.515259	16.751930	149.538147	11.381831	127.219299	9.545178	73.980202	
816.654419	16.752182	150.133286	11.324772	128.176727	9.355681	74.301582	
819.793152	16.763075	150.757645	11.258273	129.100571	9.180478	74.702675	
822.931519	16.768055	151.344788	11.204632	129.978912	9.001412	75.023438	
826.069702	16.761017	151.892746	11.135222	130.895706	8.821375	75.457108	
829.207520	16.763483	152.491974	11.068725	131.770630	8.650456	75.735901	
832.344910	16.754234	153.062775	11.020465	132.637344	8.466906	76.162399	
835.482239	16.749411	153.637817	10.964687	133.571579	8.283947	76.524712	
838.619019	16.749811	154.208740	10.905279	134.367828	8.110179	76.862663	
841.755554	16.761463	154.757263	10.848425	135.301300	7.951599	77.148453	
844.891785	16.750546	155.315796	10.790885	136.189651	7.778504	77.382736	
848.027527	16.752317	155.807297	10.745113	137.047562	7.597946	77.721695	
851.163086	16.753292	156.381134	10.693866	137.933136	7.442190	78.044922	
854.298462	16.761082	156.928360	10.626741	138.801346	7.260547	78.386078	
857.433289	16.730339	157.445541	10.571675	139.673126	7.095070	78.553802	
860.567871	16.732935	157.948868	10.523694	140.489182	6.933959	78.944183	
863.702148	16.711342	158.518234	10.474350	141.373688	6.757690	79.138008	
866.836121	16.723305	159.008820	10.433099	142.259811	6.589551	79.533104	
869.969727	16.714542	159.513748	10.379974	143.124054	6.430498	79.677734	
873.103027	16.723103	160.025986	10.331425	143.991867	6.272468	79.973663	
876.236023	16.708241	160.504272	10.293297	144.762482	6.116618	80.339493	
879.368652	16.697990	160.998657	10.244403	145.589676	5.954232	80.445457	
882.500977	16.701185	161.527176	10.185366	146.485794	5.790759	80.648682	
885.632996	16.699411	161.985413	10.139865	147.289749	5.632376	80.940071	
888.764771	16.675922	162.453400	10.099157	148.091003	5.482025	81.015907	
891.896118	16.669559	162.949539	10.059299	148.920181	5.327899	81.253746	
895.027161	16.653177	163.424423	10.011364	149.807907	5.162103	81.574097	
898.157837	16.658133	163.923386	9.966054	150.640335	5.008146	81.554039	
901.288269	16.651585	164.338196	9.931604	151.408981	4.860851	81.682640	
904.418335	16.646116	164.798798	9.891797	152.228653	4.706555	81.758362	
907.548157	16.626293	165.256088	9.861327	153.066330	4.566284	81.878494	
910.677551	16.617886	165.703506	9.812795	153.813660	4.414013	81.961395	
913.806641	16.615187	166.161209	9.767332	154.614456	4.267230	82.141571	
916.935547	16.610947	166.597687	9.729903	155.373428	4.122078	81.930923	
920.063843	16.608253	167.056305	9.701769	156.214951	3.980579	82.058205	
923.192200	16.577829	167.487076	9.666808	157.032166	3.838675	82.057877	
926.319946	16.566631	167.886276	9.626161	157.752762	3.692034	82.138100	
